Scorecard,Team 1,Team 2,Margin,Ground,Match Date,Winner,Host_Country,Venue_Team1,Venue_Team2,Innings_Team1,Innings_Team2
ODI # 29,Australia,West Indies,Winner2ndInning,The Oval,"Jun 14, 1975",West Indies,England,Neutral,Neutral,First,Second
ODI # 30,Pakistan,Sri Lanka,Winner1stInning,Nottingham,"Jun 14, 1975",Pakistan,England,Neutral,Neutral,First,Second
ODI # 31,England,Australia,Winner2ndInning,Leeds,"Jun 18, 1975",Australia,England,Home,Away,First,Second
ODI # 32,New Zealand,West Indies,Winner2ndInning,The Oval,"Jun 18, 1975",West Indies,England,Neutral,Neutral,First,Second
ODI # 33,Australia,West Indies,Winner1stInning,Lord's,"Jun 21, 1975",West Indies,England,Neutral,Neutral,Second,First
ODI # 34,Australia,West Indies,Winner2ndInning,Adelaide,"Dec 20, 1975",Australia,Australia,Home,Away,Second,First
ODI # 35,New Zealand,India,Winner2ndInning,Christchurch,"Feb 21, 1976",New Zealand,New Zealand,Home,Away,Second,First
ODI # 36,New Zealand,India,Winner1stInning,Auckland,"Feb 22, 1976",New Zealand,New Zealand,Home,Away,First,Second
ODI # 37,England,West Indies,Winner2ndInning,Scarborough,"Aug 26, 1976",West Indies,England,Home,Away,First,Second
ODI # 38,England,West Indies,Winner1stInning,Lord's,"Aug 28-29, 1976",West Indies,England,Home,Away,Second,First
ODI # 39,England,West Indies,Winner1stInning,Birmingham,"Aug 30-31, 1976",West Indies,England,Home,Away,Second,First
ODI # 40,Pakistan,New Zealand,Winner1stInning,Sialkot,"Oct 16, 1976",New Zealand,Pakistan,Home,Away,Second,First
ODI # 41,West Indies,Pakistan,Winner2ndInning,Albion,"Mar 16, 1977",West Indies,West Indies,Home,Away,Second,First
ODI # 42,England,Australia,Winner2ndInning,Manchester,"Jun 2, 1977",England,England,Home,Away,Second,First
ODI # 43,England,Australia,Winner1stInning,Birmingham,"Jun 4, 1977",England,England,Home,Away,First,Second
ODI # 44,England,Australia,Winner2ndInning,The Oval,"Jun 6, 1977",Australia,England,Home,Away,First,Second
ODI # 45,Pakistan,England,Winner2ndInning,Sahiwal,"Dec 23, 1977",England,Pakistan,Home,Away,First,Second
ODI # 46,Pakistan,England,Winner2ndInning,Sialkot,"Dec 30, 1977",England,Pakistan,Home,Away,First,Second
ODI # 47,Pakistan,England,Winner1stInning,Lahore,"Jan 13, 1978",Pakistan,Pakistan,Home,Away,First,Second
ODI # 48,West Indies,Australia,Winner1stInning,St John's,"Feb 22, 1978",West Indies,West Indies,Home,Away,First,Second
ODI # 49,West Indies,Australia,Winner2ndInning,Castries,"Apr 12, 1978",Australia,West Indies,Home,Away,First,Second
ODI # 50,England,Pakistan,Winner1stInning,Manchester,"May 24-25, 1978",England,England,Home,Away,First,Second
ODI # 51,England,Pakistan,Winner1stInning,The Oval,"May 26, 1978",England,England,Home,Away,First,Second
ODI # 52,England,New Zealand,Winner1stInning,Scarborough,"Jul 15, 1978",England,England,Home,Away,First,Second
ODI # 53,England,New Zealand,Winner1stInning,Manchester,"Jul 17, 1978",England,England,Home,Away,First,Second
ODI # 54,Pakistan,India,Winner1stInning,Quetta,"Oct 1, 1978",India,Pakistan,Home,Away,Second,First
ODI # 55,Pakistan,India,Winner2ndInning,Sialkot,"Oct 13, 1978",Pakistan,Pakistan,Home,Away,Second,First
ODI # 58,Australia,England,Winner2ndInning,Melbourne,"Jan 24, 1979",England,Australia,Home,Away,First,Second
ODI # 59,Australia,England,Winner2ndInning,Melbourne,"Feb 4, 1979",Australia,Australia,Home,Away,Second,First
ODI # 60,Australia,England,Winner2ndInning,Melbourne,"Feb 7, 1979",Australia,Australia,Home,Away,Second,First
ODI # 61,India,West Indies,Winner2ndInning,Birmingham,"Jun 9, 1979",West Indies,England,Neutral,Neutral,First,Second
ODI # 62,New Zealand,Sri Lanka,Winner2ndInning,Nottingham,"Jun 9, 1979",New Zealand,England,Neutral,Neutral,Second,First
ODI # 63,England,Australia,Winner2ndInning,Lord's,"Jun 9, 1979",England,England,Home,Away,Second,First
ODI # 64,Canada,Pakistan,Winner2ndInning,Leeds,"Jun 9, 1979",Pakistan,England,Neutral,Neutral,First,Second
ODI # 65,India,New Zealand,Winner2ndInning,Leeds,"Jun 13, 1979",New Zealand,England,Neutral,Neutral,First,Second
ODI # 66,Australia,Pakistan,Winner1stInning,Nottingham,"Jun 13-14, 1979",Pakistan,England,Neutral,Neutral,Second,First
ODI # 67,England,Canada,Winner2ndInning,Manchester,"Jun 13-14, 1979",England,England,Home,Away,Second,First
ODI # 68,India,Sri Lanka,Winner1stInning,Manchester,"Jun 16-18, 1979",Sri Lanka,England,Neutral,Neutral,Second,First
ODI # 69,New Zealand,West Indies,Winner1stInning,Nottingham,"Jun 16, 1979",West Indies,England,Neutral,Neutral,Second,First
ODI # 70,Australia,Canada,Winner2ndInning,Birmingham,"Jun 16, 1979",Australia,England,Neutral,Neutral,Second,First
ODI # 71,England,Pakistan,Winner1stInning,Leeds,"Jun 16, 1979",England,England,Home,Away,First,Second
ODI # 72,England,New Zealand,Winner1stInning,Manchester,"Jun 20, 1979",England,England,Home,Away,First,Second
ODI # 73,Pakistan,West Indies,Winner1stInning,The Oval,"Jun 20, 1979",West Indies,England,Neutral,Neutral,Second,First
ODI # 74,England,West Indies,Winner1stInning,Lord's,"Jun 23, 1979",West Indies,England,Home,Away,Second,First
ODI # 75,Australia,West Indies,Winner2ndInning,Sydney,"Nov 27, 1979",Australia,Australia,Home,Away,Second,First
ODI # 76,England,West Indies,Winner1stInning,Sydney,"Nov 28, 1979",England,Australia,Neutral,Neutral,First,Second
ODI # 77,Australia,England,Winner2ndInning,Melbourne,"Dec 8, 1979",England,Australia,Home,Away,First,Second
ODI # 78,Australia,West Indies,Winner1stInning,Melbourne,"Dec 9, 1979",West Indies,Australia,Home,Away,Second,First
ODI # 79,Australia,England,Winner1stInning,Sydney,"Dec 11, 1979",England,Australia,Home,Away,Second,First
ODI # 80,Australia,West Indies,Winner1stInning,Sydney,"Dec 21, 1979",Australia,Australia,Home,Away,First,Second
ODI # 81,England,West Indies,Winner2ndInning,Brisbane,"Dec 23, 1979",West Indies,Australia,Neutral,Neutral,First,Second
ODI # 82,Australia,England,Winner2ndInning,Sydney,"Dec 26, 1979",England,Australia,Home,Away,First,Second
ODI # 83,Australia,England,Winner2ndInning,Sydney,"Jan 14, 1980",England,Australia,Home,Away,First,Second
ODI # 84,England,West Indies,Winner1stInning,Adelaide,"Jan 16, 1980",West Indies,Australia,Neutral,Neutral,Second,First
ODI # 85,Australia,West Indies,Winner1stInning,Sydney,"Jan 18, 1980",Australia,Australia,Home,Away,First,Second
ODI # 86,England,West Indies,Winner1stInning,Melbourne,"Jan 20, 1980",West Indies,Australia,Neutral,Neutral,Second,First
ODI # 87,England,West Indies,Winner2ndInning,Sydney,"Jan 22, 1980",West Indies,Australia,Neutral,Neutral,First,Second
ODI # 88,New Zealand,West Indies,Winner2ndInning,Christchurch,"Feb 6, 1980",New Zealand,New Zealand,Home,Away,Second,First
ODI # 89,England,West Indies,Winner1stInning,Leeds,"May 28-29, 1980",West Indies,England,Home,Away,Second,First
ODI # 90,England,West Indies,Winner2ndInning,Lord's,"May 30, 1980",England,England,Home,Away,Second,First
ODI # 91,England,Australia,Winner1stInning,The Oval,"Aug 20, 1980",England,England,Home,Away,First,Second
ODI # 92,England,Australia,Winner1stInning,Birmingham,"Aug 22, 1980",England,England,Home,Away,First,Second
ODI # 93,Pakistan,West Indies,Winner2ndInning,Karachi,"Nov 21, 1980",West Indies,Pakistan,Home,Away,First,Second
ODI # 94,Australia,New Zealand,Winner2ndInning,Adelaide,"Nov 23, 1980",New Zealand,Australia,Home,Away,First,Second
ODI # 95,Australia,New Zealand,Winner1stInning,Sydney,"Nov 25, 1980",Australia,Australia,Home,Away,First,Second
ODI # 96,Pakistan,West Indies,Winner2ndInning,Sialkot,"Dec 5, 1980",West Indies,Pakistan,Home,Away,First,Second
ODI # 97,Australia,India,Winner1stInning,Melbourne,"Dec 6, 1980",India,Australia,Home,Away,Second,First
ODI # 98,Australia,New Zealand,Winner2ndInning,Melbourne,"Dec 7, 1980",Australia,Australia,Home,Away,Second,First
ODI # 99,India,New Zealand,Winner1stInning,Perth,"Dec 9, 1980",India,Australia,Neutral,Neutral,First,Second
ODI # 100,Australia,India,Winner2ndInning,Sydney,"Dec 18, 1980",Australia,Australia,Home,Away,Second,First
ODI # 101,Pakistan,West Indies,Winner1stInning,Lahore,"Dec 19, 1980",West Indies,Pakistan,Home,Away,Second,First
ODI # 102,India,New Zealand,Winner2ndInning,Brisbane,"Dec 21, 1980",New Zealand,Australia,Neutral,Neutral,First,Second
ODI # 103,India,New Zealand,Winner1stInning,Adelaide,"Dec 23, 1980",India,Australia,Neutral,Neutral,First,Second
ODI # 104,Australia,India,Winner2ndInning,Sydney,"Jan 8, 1981",Australia,Australia,Home,Away,Second,First
ODI # 105,India,New Zealand,Winner2ndInning,Melbourne,"Jan 10, 1981",New Zealand,Australia,Neutral,Neutral,First,Second
ODI # 106,Australia,India,Winner2ndInning,Melbourne,"Jan 11, 1981",Australia,Australia,Home,Away,Second,First
ODI # 107,Australia,New Zealand,Winner1stInning,Sydney,"Jan 13, 1981",New Zealand,Australia,Home,Away,Second,First
ODI # 108,Australia,India,Winner1stInning,Sydney,"Jan 15, 1981",Australia,Australia,Home,Away,First,Second
ODI # 109,India,New Zealand,Winner1stInning,Brisbane,"Jan 18, 1981",New Zealand,Australia,Neutral,Neutral,Second,First
ODI # 111,Australia,New Zealand,Winner1stInning,Sydney,"Jan 29, 1981",New Zealand,Australia,Home,Away,Second,First
ODI # 112,Australia,New Zealand,Winner2ndInning,Melbourne,"Jan 31, 1981",Australia,Australia,Home,Away,Second,First
ODI # 113,Australia,New Zealand,Winner1stInning,Melbourne,"Feb 1, 1981",Australia,Australia,Home,Away,First,Second
ODI # 114,Australia,New Zealand,Winner2ndInning,Sydney,"Feb 3, 1981",Australia,Australia,Home,Away,Second,First
ODI # 115,West Indies,England,Winner1stInning,Kingstown,"Feb 4, 1981",West Indies,West Indies,Home,Away,First,Second
ODI # 116,New Zealand,India,Winner1stInning,Auckland,"Feb 14, 1981",New Zealand,New Zealand,Home,Away,First,Second
ODI # 117,New Zealand,India,Winner1stInning,Hamilton,"Feb 15, 1981",New Zealand,New Zealand,Home,Away,First,Second
ODI # 118,West Indies,England,Winner2ndInning,Albion,"Feb 26, 1981",West Indies,West Indies,Home,Away,Second,First
ODI # 119,England,Australia,Winner2ndInning,Lord's,"Jun 4, 1981",England,England,Home,Away,Second,First
ODI # 120,England,Australia,Winner1stInning,Birmingham,"Jun 6, 1981",Australia,England,Home,Away,Second,First
ODI # 121,England,Australia,Winner1stInning,Leeds,"Jun 8, 1981",Australia,England,Home,Away,Second,First
ODI # 122,Pakistan,West Indies,Winner1stInning,Melbourne,"Nov 21, 1981",West Indies,Australia,Neutral,Neutral,Second,First
ODI # 123,Australia,Pakistan,Winner2ndInning,Melbourne,"Nov 22, 1981",Pakistan,Australia,Home,Away,First,Second
ODI # 124,Australia,West Indies,Winner2ndInning,Sydney,"Nov 24, 1981",Australia,Australia,Home,Away,Second,First
ODI # 125,India,England,Winner2ndInning,Ahmedabad,"Nov 25, 1981",England,India,Home,Away,First,Second
ODI # 126,Pakistan,West Indies,Winner1stInning,Adelaide,"Dec 5, 1981",Pakistan,Australia,Neutral,Neutral,First,Second
ODI # 127,Australia,Pakistan,Winner1stInning,Adelaide,"Dec 6, 1981",Australia,Australia,Home,Away,First,Second
ODI # 128,Australia,Pakistan,Winner2ndInning,Sydney,"Dec 17, 1981",Pakistan,Australia,Home,Away,First,Second
ODI # 129,Pakistan,West Indies,Winner2ndInning,Perth,"Dec 19, 1981",West Indies,Australia,Neutral,Neutral,First,Second
ODI # 130,Australia,West Indies,Winner2ndInning,Perth,"Dec 20, 1981",West Indies,Australia,Home,Away,First,Second
ODI # 131,India,England,Winner2ndInning,Jalandhar,"Dec 20, 1981",India,India,Home,Away,Second,First
ODI # 132,Australia,Pakistan,Winner1stInning,Melbourne,"Jan 9, 1982",Pakistan,Australia,Home,Away,Second,First
ODI # 133,Australia,West Indies,Winner2ndInning,Melbourne,"Jan 10, 1982",West Indies,Australia,Home,Away,First,Second
ODI # 134,Pakistan,West Indies,Winner2ndInning,Sydney,"Jan 12, 1982",West Indies,Australia,Neutral,Neutral,First,Second
ODI # 135,Australia,Pakistan,Winner1stInning,Sydney,"Jan 14, 1982",Australia,Australia,Home,Away,First,Second
ODI # 136,Pakistan,West Indies,Winner2ndInning,Brisbane,"Jan 16, 1982",West Indies,Australia,Neutral,Neutral,First,Second
ODI # 137,Australia,West Indies,Winner2ndInning,Brisbane,"Jan 17, 1982",West Indies,Australia,Home,Away,First,Second
ODI # 138,Australia,West Indies,Winner1stInning,Sydney,"Jan 19, 1982",Australia,Australia,Home,Away,First,Second
ODI # 139,Australia,West Indies,Winner1stInning,Melbourne,"Jan 23, 1982",West Indies,Australia,Home,Away,Second,First
ODI # 140,Australia,West Indies,Winner1stInning,Melbourne,"Jan 24, 1982",West Indies,Australia,Home,Away,Second,First
ODI # 141,Australia,West Indies,Winner1stInning,Sydney,"Jan 26, 1982",Australia,Australia,Home,Away,First,Second
ODI # 142,Australia,West Indies,Winner1stInning,Sydney,"Jan 27, 1982",West Indies,Australia,Home,Away,Second,First
ODI # 143,India,England,Winner2ndInning,Cuttack,"Jan 27, 1982",India,India,Home,Away,Second,First
ODI # 144,New Zealand,Australia,Winner1stInning,Auckland,"Feb 13, 1982",New Zealand,New Zealand,Home,Away,First,Second
ODI # 145,Sri Lanka,England,Winner1stInning,Colombo,"Feb 13, 1982",England,Sri Lanka,Home,Away,Second,First
ODI # 146,Sri Lanka,England,Winner1stInning,Colombo,"Feb 14, 1982",Sri Lanka,Sri Lanka,Home,Away,First,Second
ODI # 147,New Zealand,Australia,Winner2ndInning,Dunedin,"Feb 17, 1982",Australia,New Zealand,Home,Away,First,Second
ODI # 148,New Zealand,Australia,Winner2ndInning,Wellington,"Feb 20, 1982",Australia,New Zealand,Home,Away,First,Second
ODI # 149,Pakistan,Sri Lanka,Winner2ndInning,Karachi,"Mar 12, 1982",Pakistan,Pakistan,Home,Away,Second,First
ODI # 150,Pakistan,Sri Lanka,Winner1stInning,Lahore,"Mar 29, 1982",Sri Lanka,Pakistan,Home,Away,Second,First
ODI # 151,Pakistan,Sri Lanka,Winner2ndInning,Karachi,"Mar 31, 1982",Pakistan,Pakistan,Home,Away,Second,First
ODI # 152,England,India,Winner2ndInning,Leeds,"Jun 2, 1982",England,England,Home,Away,Second,First
ODI # 153,England,India,Winner1stInning,The Oval,"Jun 4, 1982",England,England,Home,Away,First,Second
ODI # 154,England,Pakistan,Winner2ndInning,Nottingham,"Jul 17, 1982",England,England,Home,Away,Second,First
ODI # 155,England,Pakistan,Winner1stInning,Manchester,"Jul 19, 1982",England,England,Home,Away,First,Second
ODI # 156,India,Sri Lanka,Winner1stInning,Amritsar,"Sep 12, 1982",India,India,Home,Away,First,Second
ODI # 157,India,Sri Lanka,Winner2ndInning,Delhi,"Sep 15, 1982",India,India,Home,Away,Second,First
ODI # 158,Pakistan,Australia,Winner1stInning,Hyderabad,"Sep 20, 1982",Pakistan,India,Neutral,Neutral,First,Second
ODI # 159,India,Sri Lanka,Winner2ndInning,Bengaluru,"Sep 26, 1982",India,India,Home,Away,Second,First
ODI # 160,Pakistan,Australia,Winner1stInning,Lahore,"Oct 8, 1982",Pakistan,Pakistan,Home,Away,First,Second
ODI # 162,Pakistan,India,Winner1stInning,Gujranwala,"Dec 3, 1982",Pakistan,Pakistan,Home,Away,First,Second
ODI # 163,Pakistan,India,Winner1stInning,Multan,"Dec 17, 1982",Pakistan,Pakistan,Home,Away,First,Second
ODI # 164,Pakistan,India,Winner1stInning,Lahore,"Dec 31, 1982",India,Pakistan,Home,Away,Second,First
ODI # 165,Australia,New Zealand,Winner2ndInning,Melbourne,"Jan 9, 1983",Australia,Australia,Home,Away,Second,First
ODI # 166,Australia,England,Winner1stInning,Sydney,"Jan 11, 1983",Australia,Australia,Home,Away,First,Second
ODI # 167,England,New Zealand,Winner1stInning,Melbourne,"Jan 13, 1983",New Zealand,Australia,Neutral,Neutral,Second,First
ODI # 168,England,New Zealand,Winner1stInning,Brisbane,"Jan 15, 1983",England,Australia,Neutral,Neutral,First,Second
ODI # 169,Australia,England,Winner2ndInning,Brisbane,"Jan 16, 1983",Australia,Australia,Home,Away,Second,First
ODI # 170,Australia,New Zealand,Winner1stInning,Sydney,"Jan 18, 1983",New Zealand,Australia,Home,Away,Second,First
ODI # 171,England,New Zealand,Winner2ndInning,Sydney,"Jan 20, 1983",England,Australia,Neutral,Neutral,Second,First
ODI # 172,Pakistan,India,Winner2ndInning,Karachi,"Jan 21, 1983",Pakistan,Pakistan,Home,Away,Second,First
ODI # 173,Australia,New Zealand,Winner1stInning,Melbourne,"Jan 22, 1983",New Zealand,Australia,Home,Away,Second,First
ODI # 174,Australia,England,Winner2ndInning,Melbourne,"Jan 23, 1983",Australia,Australia,Home,Away,Second,First
ODI # 175,Australia,England,Winner1stInning,Sydney,"Jan 26, 1983",England,Australia,Home,Away,Second,First
ODI # 176,England,New Zealand,Winner2ndInning,Adelaide,"Jan 29, 1983",New Zealand,Australia,Neutral,Neutral,First,Second
ODI # 177,Australia,England,Winner1stInning,Adelaide,"Jan 30, 1983",England,Australia,Home,Away,Second,First
ODI # 178,Australia,New Zealand,Winner1stInning,Adelaide,"Jan 31, 1983",New Zealand,Australia,Home,Away,Second,First
ODI # 179,England,New Zealand,Winner2ndInning,Perth,"Feb 5, 1983",New Zealand,Australia,Neutral,Neutral,First,Second
ODI # 180,Australia,New Zealand,Winner1stInning,Perth,"Feb 6, 1983",Australia,Australia,Home,Away,First,Second
ODI # 181,Australia,New Zealand,Winner2ndInning,Sydney,"Feb 9, 1983",Australia,Australia,Home,Away,Second,First
ODI # 182,Australia,New Zealand,Winner1stInning,Melbourne,"Feb 13, 1983",Australia,Australia,Home,Away,First,Second
ODI # 183,New Zealand,England,Winner2ndInning,Auckland,"Feb 19, 1983",New Zealand,New Zealand,Home,Away,Second,First
ODI # 184,New Zealand,England,Winner1stInning,Wellington,"Feb 23, 1983",New Zealand,New Zealand,Home,Away,First,Second
ODI # 185,New Zealand,England,Winner1stInning,Christchurch,"Feb 26, 1983",New Zealand,New Zealand,Home,Away,First,Second
ODI # 186,New Zealand,Sri Lanka,Winner1stInning,Dunedin,"Mar 2, 1983",New Zealand,New Zealand,Home,Away,First,Second
ODI # 187,West Indies,India,Winner1stInning,Port of Spain,"Mar 9, 1983",West Indies,West Indies,Home,Away,First,Second
ODI # 188,Australia,New Zealand,Winner1stInning,Sydney,"Mar 17, 1983",New Zealand,Australia,Home,Away,Second,First
ODI # 189,New Zealand,Sri Lanka,Winner2ndInning,Napier,"Mar 19, 1983",New Zealand,New Zealand,Home,Away,Second,First
ODI # 190,New Zealand,Sri Lanka,Winner1stInning,Auckland,"Mar 20, 1983",New Zealand,New Zealand,Home,Away,First,Second
ODI # 191,West Indies,India,Winner1stInning,Albion,"Mar 29, 1983",India,West Indies,Home,Away,Second,First
ODI # 192,West Indies,India,Winner2ndInning,St George's,"Apr 7, 1983",West Indies,West Indies,Home,Away,Second,First
ODI # 193,Sri Lanka,Australia,Winner2ndInning,Colombo,"Apr 13, 1983",Sri Lanka,Sri Lanka,Home,Away,Second,First
ODI # 194,Sri Lanka,Australia,Winner2ndInning,Colombo,"Apr 16, 1983",Sri Lanka,Sri Lanka,Home,Away,Second,First
ODI # 197,England,New Zealand,Winner1stInning,The Oval,"Jun 9, 1983",England,England,Home,Away,First,Second
ODI # 198,Pakistan,Sri Lanka,Winner1stInning,Swansea,"Jun 9, 1983",Pakistan,England,Neutral,Neutral,First,Second
ODI # 199,Australia,Zimbabwe,Winner1stInning,Nottingham,"Jun 9, 1983",Zimbabwe,England,Neutral,Neutral,Second,First
ODI # 200,India,West Indies,Winner1stInning,Manchester,"Jun 9-10, 1983",India,England,Neutral,Neutral,First,Second
ODI # 201,England,Sri Lanka,Winner1stInning,Taunton,"Jun 11, 1983",England,England,Home,Away,First,Second
ODI # 202,New Zealand,Pakistan,Winner1stInning,Birmingham,"Jun 11-12, 1983",New Zealand,England,Neutral,Neutral,First,Second
ODI # 203,Australia,West Indies,Winner1stInning,Leeds,"Jun 11-12, 1983",West Indies,England,Neutral,Neutral,Second,First
ODI # 204,India,Zimbabwe,Winner2ndInning,Leicester,"Jun 11, 1983",India,England,Neutral,Neutral,Second,First
ODI # 205,England,Pakistan,Winner2ndInning,Lord's,"Jun 13, 1983",England,England,Home,Away,Second,First
ODI # 206,New Zealand,Sri Lanka,Winner2ndInning,Bristol,"Jun 13, 1983",New Zealand,England,Neutral,Neutral,Second,First
ODI # 207,Australia,India,Winner1stInning,Nottingham,"Jun 13, 1983",Australia,England,Neutral,Neutral,First,Second
ODI # 208,West Indies,Zimbabwe,Winner2ndInning,Worcester,"Jun 13, 1983",West Indies,England,Neutral,Neutral,Second,First
ODI # 209,England,New Zealand,Winner2ndInning,Birmingham,"Jun 15, 1983",New Zealand,England,Home,Away,First,Second
ODI # 210,India,West Indies,Winner1stInning,The Oval,"Jun 15, 1983",West Indies,England,Neutral,Neutral,Second,First
ODI # 211,Pakistan,Sri Lanka,Winner1stInning,Leeds,"Jun 16, 1983",Pakistan,England,Neutral,Neutral,First,Second
ODI # 212,Australia,Zimbabwe,Winner1stInning,Southampton,"Jun 16, 1983",Australia,England,Neutral,Neutral,First,Second
ODI # 213,England,Pakistan,Winner2ndInning,Manchester,"Jun 18, 1983",England,England,Home,Away,Second,First
ODI # 214,New Zealand,Sri Lanka,Winner2ndInning,Derby,"Jun 18, 1983",Sri Lanka,England,Neutral,Neutral,First,Second
ODI # 215,Australia,West Indies,Winner2ndInning,Lord's,"Jun 18, 1983",West Indies,England,Neutral,Neutral,First,Second
ODI # 216,India,Zimbabwe,Winner1stInning,Tunbridge Wells,"Jun 18, 1983",India,England,Neutral,Neutral,First,Second
ODI # 217,England,Sri Lanka,Winner2ndInning,Leeds,"Jun 20, 1983",England,England,Home,Away,Second,First
ODI # 218,New Zealand,Pakistan,Winner1stInning,Nottingham,"Jun 20, 1983",Pakistan,England,Neutral,Neutral,Second,First
ODI # 219,Australia,India,Winner1stInning,Chelmsford,"Jun 20, 1983",India,England,Neutral,Neutral,Second,First
ODI # 220,West Indies,Zimbabwe,Winner2ndInning,Birmingham,"Jun 20, 1983",West Indies,England,Neutral,Neutral,Second,First
ODI # 221,England,India,Winner2ndInning,Manchester,"Jun 22, 1983",India,England,Home,Away,First,Second
ODI # 222,Pakistan,West Indies,Winner2ndInning,The Oval,"Jun 22, 1983",West Indies,England,Neutral,Neutral,First,Second
ODI # 223,India,West Indies,Winner1stInning,Lord's,"Jun 25, 1983",India,England,Neutral,Neutral,First,Second
ODI # 224,India,Pakistan,Winner2ndInning,Hyderabad,"Sep 10, 1983",India,India,Home,Away,Second,First
ODI # 225,India,Pakistan,Winner2ndInning,Jaipur,"Oct 2, 1983",India,India,Home,Away,Second,First
ODI # 226,India,West Indies,Winner1stInning,Srinagar,"Oct 13, 1983",West Indies,India,Home,Away,Second,First
ODI # 227,India,West Indies,Winner2ndInning,Vadodara,"Nov 9, 1983",West Indies,India,Home,Away,First,Second
ODI # 228,India,West Indies,Winner2ndInning,Indore,"Dec 1, 1983",West Indies,India,Home,Away,First,Second
ODI # 229,India,West Indies,Winner1stInning,Jamshedpur,"Dec 7, 1983",West Indies,India,Home,Away,Second,First
ODI # 230,India,West Indies,Winner2ndInning,Guwahati,"Dec 17, 1983",West Indies,India,Home,Away,First,Second
ODI # 231,Australia,West Indies,Winner1stInning,Melbourne,"Jan 8, 1984",West Indies,Australia,Home,Away,Second,First
ODI # 232,Australia,Pakistan,Winner1stInning,Sydney,"Jan 10, 1984",Australia,Australia,Home,Away,First,Second
ODI # 233,Pakistan,West Indies,Winner1stInning,Melbourne,"Jan 12, 1984",Pakistan,Australia,Neutral,Neutral,First,Second
ODI # 234,Pakistan,West Indies,Winner2ndInning,Brisbane,"Jan 14, 1984",West Indies,Australia,Neutral,Neutral,First,Second
ODI # 236,Australia,West Indies,Winner1stInning,Sydney,"Jan 17, 1984",West Indies,Australia,Home,Away,Second,First
ODI # 237,Pakistan,West Indies,Winner2ndInning,Sydney,"Jan 19, 1984",West Indies,Australia,Neutral,Neutral,First,Second
ODI # 238,Australia,Pakistan,Winner1stInning,Melbourne,"Jan 21, 1984",Australia,Australia,Home,Away,First,Second
